Image ID,Post ID,Ticket ID,Summary ,Image URL,Image Identifier,post Longitude,Post Latitude,main category,Cat option 1,Cat option 2,Cat option 3,Cat option 4,url working
0,2926,NGLAG566569,"The picture above depicts an open sewage pit in the street along Yaba college of technology and Yaba college of technology secondary school. The uncompleted sewage pit is most likely the product of an incomplete project by the local government in the area. Refuse can be seen in the gutter, along with other items which could have been disposed of properly by individual within the commune. Disposal of these refuses in the sewage pit could be a result of the lack of available waste bins in the area, something which the government within the area should consider making provision for. The sewage pit in its current state cause not just air pollution but also land, as can be seen during heavy rainfalls, with most of the contents within the sewage pit pouring into the road causing traffic and in some cases accidents. This issue should be closely looked at and resolved by the government as school children amongst many other individuals also make use of this road. A plan should also be put in place to",http://rrci.rarare.com/photos/2926.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyNi4xLm1vYmlsZS5qcGVn,3.369761,6.504779,open sewage pits,poor healthcare facilities,burst water pipe,lack of healthcare in my locale,public locale is dirty,TRUE
1,2925,NGKAD617139,The Kaduna State Government has demolished shops in front of the Kaduna township stadium taking away means of livelihood from the occupants. This development has unsettled shop owners around the metropolis who are now apprehensive and are having sleepless nights over the impending demolition of their shops.,http://rrci.rarare.com/photos/2925.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyNS4xLm1vYmlsZS5qcGVn,7.452133,10.537202,building construction,obstruction of public road,potholes - safety hazard,irregular construction,illegal road block,TRUE
2,2924,NGOND511031,"It has now become a regular thing for the residents of Orita Obele Estate of Akure, the Ondo state capital to dispose of their waste/refuse in unauthorized places such as roadsides,streams and rivers that crisscross the area. This has made the whole environment unsightly and smelly if the breeze blows in a specific direction. This has been found to be partially due to the inaccessible roads that prevents the Ondo state Waste Management services who pack refuse from other parts of the metropolis to access the area.",http://rrci.rarare.com/photos/2924.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyNC4xLm1vYmlsZS5qcGVn,5.163083,7.301642,abandoned wasteland,public locale is dirty,"pollution - streams, rivers, lakes",abandoned wasteland,risk of disease outbreak,TRUE
3,2923,NGOGU877383,"Agbado, Ijoko road at Ogun state is in a terrible state especially in the rainy seasons and in dry seasons it's an haven of dust. Most vehicles are stranded here due to it's defective road works. The government is enjoined to instruct the relevant agencies to fix up the roads as rainy seasons soon approaches",http://rrci.rarare.com/photos/2923.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyMy4xLm1vYmlsZS5qcGVn,3.275975,6.732553,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
4,2922,NGBEN847726,"In this picture is Makurdi- Naka- Ankpa road. As rainy season appears gradually, the road appears to be greatly deformed. The government is asked to instruct relevant agencies to fix this up",http://rrci.rarare.com/photos/2922.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyMi4xLm1vYmlsZS5qcGVn,8.50277,7.724155,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
5,2921,NGKAD443373,Not only the issue of insecurity is a challenge on Abuja-Kaduna highway. But the road is not really in good condition. The government is required to direct relevant agencies to fix it up before the road becomes unusable to all,http://rrci.rarare.com/photos/2921.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyMS4xLm1vYmlsZS5qcGVn,7.416205,9.95912,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
6,2920,NGKWA112626,Another bad road has been spotted and this one is none other than the Ilorin-Egbe-Kabba road. Accidents wouldn't even take long to happen on roads like this because people ply through frequently. ,http://rrci.rarare.com/photos/2920.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkyMC4xLm1vYmlsZS5qcGVn,4.567438,8.489744,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
7,2919,NGKWA948415,"Some months back, it was promised that there would be a renovation of a particular residential area around Tanke-bubu but this hasn't been attended to.  It would be kind and noble of the government to carry out this promised project.",http://rrci.rarare.com/photos/2919.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxOS4xLm1vYmlsZS5qcGVn,4.615285,8.477863,resurfacing streets,rubbish on the street,illegal road block,defective traffic light,defective transformer,TRUE
8,2918,NGLAG571555,"The road leading to Ogijo Garage, Ogun State is in a mess despite being an important road to follow to the garage for the boarding of busses to destinations. Changes should be made",http://rrci.rarare.com/photos/2918.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxOC4xLm1vYmlsZS5qcGVn,3.510454,6.619413,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
9,2917,NGKOG902438,"As seen in this image, the Okene road which lies in Kogi State is now one that can't even attract any positive statement. The road is used by travelers daily and they would surely not like it when they get here. It is bad and should be repaired.",http://rrci.rarare.com/photos/2917.1.mobile.jpeg,aHR0cDovL3JyY2kucmFyYXJlLmNvbS9waG90b3MvMjkxNy4xLm1vYmlsZS5qcGVn,6.242904,7.561418,defective roadworks,potholes - safety hazard,abandoned car,defective public transport,illegal road block,TRUE
