Image index,abandoned car,abandoned truck,abandoned wasteland,building construction,burst water pipe,customer service,dead animal,defective public transport,defective roadworks,defective traffic light,defective transformer,education,education facilities,electricity,flooding,graffiti report,illegal road block,irregular construction,lack of healthcare in my locale,noise pollution,obstruction of public road,open sewage pits,"pollution - streams, rivers, lakes",poor healthcare facilities,poor mobile network service,potholes - safety hazard,public locale is dirty,rave,resurfacing streets,risk of disease outbreak,risk of fire outbreak - property,rubbish on the street,security issue,stagnant water pool,street light,traffic jam,waste management,Image URL
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2926.1.mobile.jpeg
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2925.1.mobile.jpeg
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2924.1.mobile.jpeg
3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2923.1.mobile.jpeg
4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2922.1.mobile.jpeg
5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2921.1.mobile.jpeg
6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2920.1.mobile.jpeg
7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,http://rrci.rarare.com/photos/2919.1.mobile.jpeg
8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2918.1.mobile.jpeg
9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2917.1.mobile.jpeg
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2916.1.mobile.jpeg
11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2915.1.mobile.jpeg
12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2914.1.mobile.jpeg
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,http://rrci.rarare.com/photos/2913.1.mobile.jpeg
14,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2912.1.mobile.jpeg
15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2911.1.mobile.jpeg
16,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2910.1.mobile.jpeg
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,http://rrci.rarare.com/photos/2901.1.mobile.jpeg
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,http://rrci.rarare.com/photos/2900.1.mobile.jpeg
19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,http://rrci.rarare.com/photos/2899.1.mobile.jpeg
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,http://rrci.rarare.com/photos/2898.1.mobile.jpeg
